"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades"
"TATASTEEL","EQ","23-Dec-2015","        257.40","        262.25","        266.40","        262.25","        265.00","        264.45","        264.81","    7702901","      20397.79","      66477"
"TATASTEEL","EQ","24-Dec-2015","        264.45","        266.00","        266.00","        260.60","        264.00","        263.35","        262.65","    3843796","      10095.81","      35634"
"TATASTEEL","EQ","28-Dec-2015","        263.35","        263.95","        264.30","        253.00","        254.40","        254.10","        256.63","    5317617","      13646.58","      52111"
"TATASTEEL","EQ","29-Dec-2015","        254.10","        255.80","        257.15","        253.35","        256.20","        255.30","        255.36","    3800523","       9704.89","      38433"
"TATASTEEL","EQ","30-Dec-2015","        255.30","        256.40","        261.80","        255.10","        258.80","        258.70","        258.80","    6812728","      17631.25","      61353"
"TATASTEEL","EQ","31-Dec-2015","        258.70","        260.00","        260.80","        256.95","        259.05","        259.80","        258.95","    4446690","      11514.71","      39087"
"TATASTEEL","EQ","01-Jan-2016","        259.80","        259.00","        259.90","        253.40","        257.30","        257.40","        256.52","    3151567","       8084.39","      26006"
"TATASTEEL","EQ","04-Jan-2016","        257.40","        255.00","        263.20","        253.10","        259.00","        256.90","        258.07","    6981400","      18017.08","      54636"
"TATASTEEL","EQ","05-Jan-2016","        256.90","        257.55","        276.40","        257.55","        272.70","        274.30","        270.04","   15008921","      40530.14","     121198"
"TATASTEEL","EQ","06-Jan-2016","        274.30","        272.80","        274.60","        266.00","        268.75","        268.75","        270.19","    7454725","      20142.28","      74296"
"TATASTEEL","EQ","07-Jan-2016","        268.75","        263.00","        263.30","        248.20","        251.00","        249.90","        255.13","    9503720","      24246.60","      83133"
"TATASTEEL","EQ","08-Jan-2016","        249.90","        252.00","        256.30","        249.05","        254.55","        253.60","        253.17","    6299465","      15948.60","      70345"
"TATASTEEL","EQ","11-Jan-2016","        253.60","        247.00","        253.35","        244.25","        252.90","        251.65","        249.03","    6085363","      15154.30","      56078"
"TATASTEEL","EQ","12-Jan-2016","        251.65","        253.05","        255.30","        243.15","        245.55","        245.75","        248.57","    5425352","      13485.56","      50211"
"TATASTEEL","EQ","13-Jan-2016","        245.75","        248.50","        251.80","        237.00","        246.35","        246.60","        244.80","    7482478","      18316.85","      63311"
"TATASTEEL","EQ","14-Jan-2016","        246.60","        235.00","        242.55","        231.50","        239.45","        238.75","        237.54","    8884802","      21104.91","      71899"
"TATASTEEL","EQ","15-Jan-2016","        238.75","        242.50","        243.00","        228.10","        229.50","        229.70","        235.44","    5991645","      14106.86","      53980"
"TATASTEEL","EQ","18-Jan-2016","        229.70","        229.80","        244.00","        225.20","        237.40","        235.90","        235.31","    8417421","      19807.29","      68248"
"TATASTEEL","EQ","19-Jan-2016","        235.90","        237.55","        240.95","        231.25","        237.45","        238.00","        236.47","    6304102","      14907.06","      59826"
"TATASTEEL","EQ","20-Jan-2016","        238.00","        232.80","        234.00","        226.50","        232.20","        232.00","        230.61","    5486812","      12653.17","      46955"
"TATASTEEL","EQ","21-Jan-2016","        232.00","        234.70","        239.35","        231.25","        236.10","        235.60","        235.61","    6245316","      14714.58","      53883"
"TATASTEEL","EQ","22-Jan-2016","        235.60","        238.30","        250.80","        237.65","        247.70","        247.80","        245.03","    6510761","      15953.26","     103375"
"TATASTEEL","EQ","25-Jan-2016","        247.80","        249.00","        256.40","        248.80","        255.05","        254.90","        253.62","    5576543","      14143.28","      61284"
"TATASTEEL","EQ","27-Jan-2016","        254.90","        255.00","        259.90","        253.40","        256.65","        257.60","        256.80","    6235665","      16013.44","      59347"
"TATASTEEL","EQ","28-Jan-2016","        257.60","        257.00","        258.45","        252.40","        254.00","        254.20","        254.95","    6016704","      15339.45","      43982"
"TATASTEEL","EQ","29-Jan-2016","        254.20","        254.65","        258.80","        247.45","        248.35","        249.70","        252.91","    6747965","      17066.40","      49299"
"TATASTEEL","EQ","01-Feb-2016","        249.70","        248.90","        254.95","        246.50","        248.95","        249.30","        251.22","    4420717","      11105.89","      40819"
"TATASTEEL","EQ","02-Feb-2016","        249.30","        250.25","        251.00","        230.10","        230.20","        231.45","        237.82","    8388473","      19949.60","      74173"
"TATASTEEL","EQ","03-Feb-2016","        231.45","        227.90","        233.90","        221.45","        222.50","        224.00","        228.12","    7791522","      17774.31","      67232"
"TATASTEEL","EQ","04-Feb-2016","        224.00","        224.40","        228.60","        219.00","        227.70","        225.95","        222.82","   11709422","      26090.70","     101475"
"TATASTEEL","EQ","05-Feb-2016","        225.95","        216.00","        238.30","        216.00","        235.75","        233.85","        225.72","   25803399","      58243.05","     187555"
"TATASTEEL","EQ","08-Feb-2016","        233.85","        238.60","        243.95","        232.05","        235.00","        234.10","        237.11","   10332441","      24499.20","      87660"
"TATASTEEL","EQ","09-Feb-2016","        234.10","        230.90","        237.30","        230.10","        236.80","        235.50","        234.24","    7562851","      17714.97","      61391"
"TATASTEEL","EQ","10-Feb-2016","        235.50","        234.85","        237.75","        227.10","        237.00","        235.70","        232.33","    7616029","      17694.62","      67863"
"TATASTEEL","EQ","11-Feb-2016","        235.70","        235.95","        237.30","        220.85","        225.50","        224.50","        228.74","    6151670","      14071.58","      48325"
"TATASTEEL","EQ","12-Feb-2016","        224.50","        226.00","        229.35","        211.15","        216.40","        217.50","        217.16","    9373751","      20356.35","      76135"
"TATASTEEL","EQ","15-Feb-2016","        217.50","        222.00","        248.00","        222.00","        247.00","        246.70","        241.23","   13602332","      32813.04","     114510"
"TATASTEEL","EQ","16-Feb-2016","        246.70","        249.60","        251.60","        243.15","        245.40","        244.85","        246.45","    9146831","      22542.46","      82859"
"TATASTEEL","EQ","17-Feb-2016","        244.85","        245.00","        252.90","        238.00","        252.35","        251.25","        244.51","    8295421","      20283.11","      73677"
"TATASTEEL","EQ","18-Feb-2016","        251.25","        255.00","        256.50","        243.20","        250.50","        250.85","        251.24","    9459329","      23766.03","      77776"
"TATASTEEL","EQ","19-Feb-2016","        250.85","        248.50","        254.45","        246.85","        253.25","        253.25","        251.50","    6770618","      17028.19","      65076"
"TATASTEEL","EQ","22-Feb-2016","        253.25","        253.60","        257.50","        251.70","        255.55","        255.25","        254.77","    4810335","      12255.35","      48123"
"TATASTEEL","EQ","23-Feb-2016","        255.25","        255.80","        261.60","        252.10","        252.40","        253.55","        256.97","    8452358","      21720.13","      88915"
"TATASTEEL","EQ","24-Feb-2016","        253.55","        250.60","        253.75","        246.95","        247.15","        247.90","        250.92","    4743823","      11903.34","      44759"
"TATASTEEL","EQ","25-Feb-2016","        247.90","        247.10","        249.85","        244.60","        249.50","        248.15","        247.37","    5588168","      13823.22","      46536"
"TATASTEEL","EQ","26-Feb-2016","        248.15","        249.50","        251.70","        243.15","        248.40","        248.45","        247.41","    5336837","      13204.11","      48012"
"TATASTEEL","EQ","29-Feb-2016","        248.45","        246.90","        263.65","        245.10","        247.55","        249.10","        254.47","    9850435","      25066.40","      96265"
"TATASTEEL","EQ","01-Mar-2016","        249.10","        250.00","        258.15","        246.55","        257.50","        257.05","        252.67","    7111226","      17967.87","      67757"
"TATASTEEL","EQ","02-Mar-2016","        257.05","        260.00","        269.50","        259.50","        269.00","        267.55","        265.54","    7645620","      20301.99","      69701"
"TATASTEEL","EQ","03-Mar-2016","        267.55","        273.00","        289.00","        272.10","        287.95","        287.05","        280.88","   17533077","      49247.46","     146221"
"TATASTEEL","EQ","04-Mar-2016","        287.05","        289.00","        291.20","        284.50","        290.00","        288.55","        287.83","    9170166","      26394.36","      86303"
"TATASTEEL","EQ","08-Mar-2016","        288.55","        287.80","        296.70","        287.00","        291.40","        291.80","        293.31","    9281598","      27224.31","      82235"
"TATASTEEL","EQ","09-Mar-2016","        291.80","        283.50","        296.50","        281.30","        296.45","        295.40","        287.73","   10158431","      29228.75","      85747"
"TATASTEEL","EQ","10-Mar-2016","        295.40","        296.30","        301.25","        293.30","        296.00","        296.70","        297.50","    8556968","      25457.20","      82875"
"TATASTEEL","EQ","11-Mar-2016","        296.70","        296.00","        298.20","        290.35","        294.60","        294.05","        294.14","    7633668","      22453.64","      91910"
"TATASTEEL","EQ","14-Mar-2016","        294.05","        295.95","        300.25","        295.25","        296.20","        296.70","        297.08","    4445317","      13206.18","      46852"
"TATASTEEL","EQ","15-Mar-2016","        296.70","        297.00","        302.00","        294.10","        300.00","        300.45","        298.85","    6978051","      20854.07","      78579"
